Key,Source,Context,Example,en_US,pt_BR
,Change group,,,,Mudar grupo
,nil,PluginGuiService.TagEditor.TagEditor.InstanceView.Topbar.Title.Label,,,
,Back,PluginGuiService.TagEditor.TagEditor.InstanceView.Topbar.Back,,,
,Instance List (0 instances),PluginGuiService.TagEditor.TagEditor.InstanceView.Body.Body.ScrollingFrame.InstanceCount.Label,,,
,nil - Select a Color,PluginGuiService.TagEditor.TagEditor.ColorPicker.Topbar.Title.Label,,,
,Back,PluginGuiService.TagEditor.TagEditor.ColorPicker.Topbar.Back,,,
,#000000,PluginGuiService.TagEditor.TagEditor.ColorPicker.Body.Body.PropertiesPanel.Hex.Input.TextBox,,,
,Hex,PluginGuiService.TagEditor.TagEditor.ColorPicker.Body.Body.PropertiesPanel.Hex.Label,,,
,"0, 0, 0",PluginGuiService.TagEditor.TagEditor.ColorPicker.Body.Body.PropertiesPanel.Rgb.Input.TextBox,,,
,RGB,PluginGuiService.TagEditor.TagEditor.ColorPicker.Body.Body.PropertiesPanel.Rgb.Label,,,
,"0, 0, 0",PluginGuiService.TagEditor.TagEditor.ColorPicker.Body.Body.PropertiesPanel.Hsv.Input.TextBox,,,
,HSV,PluginGuiService.TagEditor.TagEditor.ColorPicker.Body.Body.PropertiesPanel.Hsv.Label,,,
,Cancel,PluginGuiService.TagEditor.TagEditor.ColorPicker.Body.Body.PropertiesPanel.Buttons.Cancel,,,
,Submit,PluginGuiService.TagEditor.TagEditor.ColorPicker.Body.Body.PropertiesPanel.Buttons.Submit,,,
,nil - Select an Icon,PluginGuiService.TagEditor.TagEditor.IconPicker.Topbar.Title.Label,,,
,Back,PluginGuiService.TagEditor.TagEditor.IconPicker.Topbar.Back,,,
,Folders,PluginGuiService.TagEditor.TagEditor.IconPicker.Body.TabLayout.TabPanel.Content.ScrollingFrame.Folders.Label,,,
,Keys & Locks,PluginGuiService.TagEditor.TagEditor.IconPicker.Body.TabLayout.TabPanel.Content.ScrollingFrame.Keys & Locks.Label,,,
,Documents,PluginGuiService.TagEditor.TagEditor.IconPicker.Body.TabLayout.TabPanel.Content.ScrollingFrame.Documents.Label,,,Documentos
,Symbols,PluginGuiService.TagEditor.TagEditor.IconPicker.Body.TabLayout.TabPanel.Content.ScrollingFrame.Symbols.Label,,,
,Shapes,PluginGuiService.TagEditor.TagEditor.IconPicker.Body.TabLayout.TabPanel.Content.ScrollingFrame.Shapes.Label,,,
,Currency,PluginGuiService.TagEditor.TagEditor.IconPicker.Body.TabLayout.TabPanel.Content.ScrollingFrame.Currency.Label,,,
,Awards & Medals,PluginGuiService.TagEditor.TagEditor.IconPicker.Body.TabLayout.TabPanel.Content.ScrollingFrame.Awards & Medals.Label,,,
,Scripts,PluginGuiService.TagEditor.TagEditor.IconPicker.Body.TabLayout.TabPanel.Content.ScrollingFrame.Scripts.Label,,,
,Tiny,PluginGuiService.TagEditor.TagEditor.IconPicker.Body.TabLayout.TabPanel.Content.ScrollingFrame.Tiny.Label,,,
,Objects - UI,PluginGuiService.TagEditor.TagEditor.IconPicker.Body.TabLayout.TabPanel.Content.ScrollingFrame.Objects - UI.Label,,,Objetos – UI
,Film,PluginGuiService.TagEditor.TagEditor.IconPicker.Body.TabLayout.TabPanel.Content.ScrollingFrame.Film.Label,,,Filme
,Computers,PluginGuiService.TagEditor.TagEditor.IconPicker.Body.TabLayout.TabPanel.Content.ScrollingFrame.Computers.Label,,,Computadores
,Symbols - UI,PluginGuiService.TagEditor.TagEditor.IconPicker.Body.TabLayout.TabPanel.Content.ScrollingFrame.Symbols - UI.Label,,,
,Flags,PluginGuiService.TagEditor.TagEditor.IconPicker.Body.TabLayout.TabPanel.Content.ScrollingFrame.Flags.Label,,,
,Objects - Misc,PluginGuiService.TagEditor.TagEditor.IconPicker.Body.TabLayout.TabPanel.Content.ScrollingFrame.Objects - Misc.Label,,,
,Buttons,PluginGuiService.TagEditor.TagEditor.IconPicker.Body.TabLayout.TabPanel.Content.ScrollingFrame.Buttons.Label,,,
,Computers - Peripherals,PluginGuiService.TagEditor.TagEditor.IconPicker.Body.TabLayout.TabPanel.Content.ScrollingFrame.Computers - Peripherals.Label,,,
,People & Emotes,PluginGuiService.TagEditor.TagEditor.IconPicker.Body.TabLayout.TabPanel.Content.ScrollingFrame.People & Emotes.Label,,,Pessoas & Emocãoes
,Arrows,PluginGuiService.TagEditor.TagEditor.IconPicker.Body.TabLayout.TabPanel.Content.ScrollingFrame.Arrows.Label,,,
,Text & Formatting,PluginGuiService.TagEditor.TagEditor.IconPicker.Body.TabLayout.TabPanel.Content.ScrollingFrame.Text & Formatting.Label,,,Texto
,Databases,PluginGuiService.TagEditor.TagEditor.IconPicker.Body.TabLayout.TabPanel.Content.ScrollingFrame.Databases.Label,,,
,Bricks,PluginGuiService.TagEditor.TagEditor.IconPicker.Body.TabLayout.TabPanel.Content.ScrollingFrame.Bricks.Label,,,
,Tags,PluginGuiService.TagEditor.TagEditor.IconPicker.Body.TabLayout.TabPanel.Content.ScrollingFrame.Tags.Label,,,
,Objects - Game,PluginGuiService.TagEditor.TagEditor.IconPicker.Body.TabLayout.TabPanel.Content.ScrollingFrame.Objects - Game.Label,,,
,Time & Date,PluginGuiService.TagEditor.TagEditor.IconPicker.Body.TabLayout.TabPanel.Content.ScrollingFrame.Time & Date.Label,,,Tempo
,Sports,PluginGuiService.TagEditor.TagEditor.IconPicker.Body.TabLayout.TabPanel.Content.ScrollingFrame.Sports.Label,,,
,Weather,PluginGuiService.TagEditor.TagEditor.IconPicker.Body.TabLayout.TabPanel.Content.ScrollingFrame.Weather.Label,,,
,Custom,PluginGuiService.TagEditor.TagEditor.IconPicker.Body.TabLayout.TabGroup.Tabs.Tab_Custom.Label,,,
,Emoji,PluginGuiService.TagEditor.TagEditor.IconPicker.Body.TabLayout.TabGroup.Tabs.Tab_Emoji.Label,,,
,Icons,PluginGuiService.TagEditor.TagEditor.IconPicker.Body.TabLayout.TabGroup.Tabs.Tab_Icons.Label,,,
,Search,PluginGuiService.TagEditor.TagEditor.IconPicker.Body.TopBar.Search.SearchBarContainer.SearchBar,,,
,nil - Select a Group,PluginGuiService.TagEditor.TagEditor.GroupPicker.Topbar.Title.Label,,,
,Back,PluginGuiService.TagEditor.TagEditor.GroupPicker.Topbar.Back,,,
,Default,PluginGuiService.TagEditor.TagEditor.GroupPicker.Body.Body.ScrollingFrame.Default.Contents.TopElements.Name,,,
,Add new group...,PluginGuiService.TagEditor.TagEditor.GroupPicker.Body.Body.ScrollingFrame.AddNew.Contents.TopElements.Name,,,
,Example Group,PluginGuiService.TagEditor.TagEditor.GroupPicker.Body.Body.ScrollingFrame.Group Example Group.Contents.TopElements.Name,,,
,Search,PluginGuiService.TagEditor.TagEditor.Container.TagSearch.SearchBarContainer.SearchBar,,,
,ProximityPrompt,PluginGuiService.TagEditor.TagEditor.Container.TagList.ScrollingFrame.ProximityPrompt.Contents.TopElements.Name,,,
,Custom Icon,PluginGuiService.TagEditor.TagEditor.Container.TagList.ScrollingFrame.Custom Icon.Contents.TopElements.Name,,,
,Example Group,PluginGuiService.TagEditor.TagEditor.Container.TagList.ScrollingFrame.GroupExample Group.Contents.GroupText,,,
,Add new tag...,PluginGuiService.TagEditor.TagEditor.Container.TagList.ScrollingFrame.AddNew.Contents.TopElements.Name,,,
,&lt;b&gt;evil&lt;/b&gt;,PluginGuiService.TagEditor.TagEditor.Container.TagList.ScrollingFrame.<b>evil</b>.Contents.TopElements.Name,,,
